"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"ANTENNA";"PAD-01";"ANT1";"Antenna";"";"";"";"";
"1";"";"AT86RF212";"32QN2";"U1";"AT86RF212 - Low-Power SPI-based 700/800/900 MHz Transceiver";"";"";"";"";
"1";"";"BALUN+LP";"BALUN0805";"B1";"Balun + Low Pass Filter";"";"";"";"";
"2";"";"PINHD-1X5";"1X05";"JP1, JP2";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP3";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP4";"PIN HEADER";"";"";"";"";
"2";"";"SMD2";"SMD1,27-2,54";"PAD1, PAD2";"SMD PAD";"";"";"";"";
"1";"";"TASTER-9314_SMD";"TASTER-9314_SMD";"S1";"";"";"";"";"";
"2";"0R";"R-EU_R0603";"R0603";"R25, R26";"RESISTOR, European symbol";"";"";"";"";
"1";"100nF";"C-EUC0805";"C0805";"C14";"CAPACITOR, European symbol";"";"";"";"";
"1";"100pF";"C-EUC0603";"C0603";"C24";"CAPACITOR, European symbol";"";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R3, R10";"RESISTOR, European symbol";"";"";"";"";
"2";"18pF";"C-EUC0603";"C0603";"C1, C4";"CAPACITOR, European symbol";"";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";"";"";"";
"9";"1uF";"C-EUC0603";"C0603";"C2, C3, C5, C6, C8, C9, C19, C26, C27";"CAPACITOR, European symbol";"";"";"";"";
"1";"220nF";"C-EUC0805";"C0805";"C13";"CAPACITOR, European symbol";"";"";"";"";
"1";"470R";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";
"3";"82R";"R-EU_R0603";"R0603";"R22, R24, R27";"RESISTOR, European symbol";"";"";"";"";
"1";"ATMEGA1284";"ATMEGA644A";"TQFP44";"IC1";"8-bit Microcontroller with 64K Bytes In-System Programmable Flash";"";"ATMEGA644PV-10AU";"1455123";"58M3748";
"1";"CRYSTALX22";"CRYSTALX22";"X22";"Q1";"";"";"";"";"";
"1";"HEXAKRAKE";"HEXAKRAKE";"HEXAKRAKE";"U$1";"";"";"";"";"";
"1";"MICROMATCH-8";"MICROMATCH-8";"MICROMATCH-8";"X1";"MicroMaTch 8  7-215464-8 / 0-215464-8";"FARNELL";"7-215464-8";"3784642";"26H0301";
"1";"green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED2";"LED";"";"";"";"";
"2";"red";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, PWR";"LED";"";"";"";"";
